id,handle,followers_count,friends_count,isProxy
0,"BarackObama",133311376,573718,0
1,"JoeBiden",36361819,47,0
2,"adamconover",224302,2029,0
3,"manniac",46851,609,0
4,"ProSieben",1791693,26445,0
5,"DWDL",100784,139,0
6,"SPIEGEL_EIL",1893123,25,0
7,"Naughty_Dog",3530272,1927,0
8,"tazgezwitscher",698761,1372,0
9,"alextv",219656,673,0
10,"Eurovision",630111,686,0
11,"RobBubble",48149,540,0
12,"extra3",1086261,2884,0
13,"coldmirror",259478,63,0
14,"janboehm",2701447,2232,0
15,"thekillers",4769311,37,0
16,"ESC_kompakt",1866,415,0
17,"eurovisionde",35637,434,0
18,"DalaiLama",19244376,0,0
19,"cameronmonaghan",530261,993,0
20,"damitdasklaas",1865300,957,0
21,"HeikoMaas",454333,3451,0
22,"ARTEde",340649,1183,0
23,"DWoehrl",14652,1889,0
24,"SenSanders",12560147,2318,0
25,"MickyBeisenherz",302603,3266,0
26,"PlayStationDE",437119,410,0
27,"twentyonepilots",4075936,2,0
28,"anredo",62755,235,0
29,"BILDblog",225015,112,0
30,"JULIANSTOECKEL",5379,2415,0
31,"Zapp_NDR",213,0,0
32,"Nolan_Gould",312800,247,0
33,"dailyknoedel",4887,572,0
34,"manniacIBES",4879,26,0
35,"hannah_maaan",197,25,0
36,"Der_Postillon",1355191,188,0
37,"XLena___x3",3,2,0
38,"AltF4Games",25123,33,0
39,"sonjariegel",1761,622,0
40,"nicosemsrott",354035,131,0
41,"dennisderdoedel",2441,714,0
42,"Europops",3147,2215,0
43,"ordinarytings",31111,737,0
44,"grinaldi97",2340,2081,0
45,"BastiMasti_",3203,367,0
46,"PhilippWalulis",17585,531,0
47,"adeldadel_",17,39,0
48,"twitkalk",114407,1084,0
49,"LauraLoye",46,87,0
50,"adamhchase",6042,663,0
51,"Sofareporter",913,588,0
52,"Michaelsen_J",38084,415,0
53,"bookofmormonuk",37892,126,0
54,"BuzzFeedLGBTQ",218089,173,0
55,"erzaehlmirnix",168761,49,0
56,"pjhardingmusic",936,476,0
57,"_slylow",1244,61,0
58,"UDeserveASlap",390,123,0
59,"maithi_nk",453787,1088,0
60,"Lileysch",50,131,0
61,"fatimahamburg",912,344,0
62,"BettyPotemkin",22,33,0
63,"Felix_Hartmann_",16,35,0
64,"AiraMathe",28,48,0
65,"CommonESCGirl",19518,14920,0
66,"zdfmagazin",816444,3,0
67,"topfvollgold",16518,58,0
68,"drguidoknapp",183429,1231,0
69,"deinTherapeut",65742,288,0
70,"appelcake772",39,84,0
71,"Consiquent",883,344,0
72,"la_petitechou",2728,125,0
73,"moritzlink32",24,70,0
74,"notrlyunique",63,55,0
75,"NetflixDE",2311395,854,0
76,"lost7cookies",27,57,0
77,"c_drosten",1006806,161,0
78,"konzertkotze",910,273,0
79,"Snowden",5425948,1,0
80,"BorisBlocksberg",6025,144,0
81,"TrashTVTalk",2591,3,0
82,"matratzematt",10,5,0
83,"ReactEurovision",543,137,0
84,"Lieferandinho",359,436,0
85,"FelixHeimburger",50,383,0
86,"MulchTheMurloc",12,237,0
87,"uebermedien",90618,213,0
88,"escschnack",406,396,0
89,"GretaThunberg",5004221,2841,0
90,"WitzigWeil",49274,0,0
91,"bookofmormonEU",390,3,0
92,"zweiniemand",108,0,0
93,"TweetWrapped",68538,0,0
94,"Laura__1804",6,3,0
95,"EurovisionAgain",14640,550,0
96,"Mitch_something",9,120,0
97,"Euro_Vixen",737,247,0
98,"BasedByAccident",560666,292,0
99,"unikonstanzmeme",55,1,0
100,"melfest_en",8977,64,0
101,"POTUS",27109807,12,0
102,"lugeration",18464,2,0
103,"moeckel_l",5,20,0
104,"RalfDuemmel",17697,165,0
105,"Trix_Bk",16,40,0
106,"ichbinsfabian",298,2350,0
107,"Faktillon",86390,177,0
108,"pxldominik",5,14,0
109,"SebTillmann",206,473,0
110,"PuttkammerSarah",4,34,0
111,"ninachuckreis",18,45,0
112,"LilNasX",8022256,729,0
113,"koalagirl87",116,57,0
114,"ProfKunze",1430,528,0
115,"bigbrainbanani",11,120,0
116,"AdrianoDex",44,824,0
117,"TrumpDraws",339708,101,0
118,"AGU4N4",20,103,0
119,"ESCGreenroom",445,523,0
120,"oermemes",69247,279,0
121,"SusumuShikano",510,125,0
122,"myunicornisevil",372,95,0
123,"tmthiraeth",9,18,0
124,"MarcRilling",5,73,0
125,"ckbreunig",1372,230,0
126,"rundfunk17",1650,5,0
127,"dalangmalang",446,439,0
