source,target,weight
0,101,5
0,1,10
1,101,5
2,112,5
2,89,5
2,0,5
2,79,5
3,101,5
11,3,10
3,1,5
3,77,5
3,112,5
3,89,5
3,40,5
3,46,10
3,69,10
3,24,5
12,3,10
3,25,5
3,79,5
3,66,5
3,14,5
3,4,10
3,9,10
3,48,5
3,33,10
3,34,10
13,3,10
4,77,5
4,8,5
22,4,10
4,14,5
4,41,10
25,4,10
4,52,10
4,18,5
4,5,10
20,4,10
4,29,5
23,4,10
33,4,10
17,4,10
25,5,10
46,5,10
5,75,10
29,5,10
48,5,10
14,5,10
20,5,10
5,6,5
26,7,10
8,89,5
8,5,5
8,6,5
8,87,10
8,79,5
8,14,5
8,18,5
8,29,5
12,8,10
8,0,5
21,8,10
9,48,5
9,89,5
59,9,10
9,79,5
75,9,10
11,9,10
9,66,5
9,20,5
9,36,5
9,14,5
9,0,5
9,13,5
12,9,10
10,100,10
10,95,10
10,65,10
10,17,10
11,120,5
11,101,5
11,1,5
11,66,5
11,77,5
11,46,5
11,21,10
11,59,10
11,89,5
11,48,5
11,0,5
11,12,5
11,87,10
11,26,5
11,33,10
11,5,5
11,14,5
11,75,10
11,13,5
12,102,5
12,52,10
12,120,10
12,59,10
12,77,5
12,89,5
12,55,5
12,90,5
107,12,10
12,75,5
12,1,5
12,0,5
12,24,5
12,33,10
12,17,10
12,46,10
12,87,10
12,21,10
12,79,5
12,29,10
12,6,5
12,23,10
12,20,10
12,48,10
12,66,5
12,14,10
12,4,5
12,36,10
12,25,10
12,22,10
12,40,10
12,5,5
14,17,5
14,59,10
14,1,5
14,101,5
14,98,10
120,14,10
14,77,10
14,89,5
14,40,10
14,48,10
14,68,10
14,79,5
14,117,5
14,0,5
14,104,5
14,21,10
14,66,10
14,46,10
14,52,10
14,25,10
14,6,5
14,20,10
16,100,5
16,95,5
16,88,10
119,16,10
16,71,10
16,51,10
16,42,10
16,17,10
16,10,5
100,17,10
17,95,10
119,17,10
17,88,10
17,71,10
17,42,10
17,51,10
19,101,5
19,1,5
19,89,5
19,0,5
19,24,5
20,59,10
20,1,5
20,77,5
20,90,5
20,40,5
20,29,10
20,24,5
20,87,5
20,67,5
20,75,10
20,66,5
20,79,5
20,21,10
20,48,10
20,52,10
20,25,10
20,0,5
20,6,5
21,59,10
21,77,5
21,89,10
21,55,5
21,51,10
21,4,5
21,24,5
21,87,5
21,25,10
21,52,10
21,0,5
21,5,5
21,22,5
21,66,5
21,23,5
21,36,5
21,48,10
21,29,5
21,6,5
120,22,10
22,75,10
22,66,5
22,87,10
22,36,10
22,8,5
22,14,5
22,5,5
22,20,5
22,0,5
22,29,5
23,1,5
23,101,5
23,25,10
104,23,10
23,79,5
23,14,5
23,5,5
23,52,5
23,8,5
23,29,5
23,20,5
23,0,5
23,18,5
23,6,5
24,89,10
24,1,5
24,0,5
25,79,5
25,1,5
25,67,5
25,68,5
25,77,5
25,59,10
25,90,5
25,41,10
25,40,5
25,104,5
25,30,10
25,28,10
25,9,5
25,75,5
25,22,5
25,0,5
25,87,10
25,36,5
25,66,5
25,8,5
25,29,10
25,46,10
25,6,5
25,48,10
25,52,10
26,75,10
28,101,5
28,1,5
28,40,5
28,87,5
28,104,5
126,28,10
28,41,10
28,36,5
28,30,10
28,81,10
28,4,5
28,45,10
28,72,5
28,66,5
28,6,5
28,29,5
28,14,5
28,5,5
28,13,5
28,20,5
29,68,10
29,40,5
29,0,5
29,55,10
29,87,10
29,67,10
29,6,5
30,10,5
30,1,5
30,17,5
30,81,5
30,5,5
30,21,5
30,23,5
30,51,5
30,16,5
30,75,5
30,36,5
30,12,5
30,66,5
